"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","The Venetian Resort Hotel CasinoThe Strip"," 8.91928","NA","299","Las_Vegas_Saturday_20170401","1"
"2","The Palazzo Resort Hotel CasinoThe Strip","2. The Palazzo Resort Hotel CasinoThe Strip - NortheastFree Internet82 People Viewing!3 Rooms Left! Book Now! Savings CalculationClosewas 0from$399Choose","NA","399","Las_Vegas_Saturday_20170401","1"
"3","Bellagio Hotel And CasinoThe Strip"," 8.5478","264.16","228.65","Las_Vegas_Saturday_20170401","1"
"4","Treasure Island Hotel & CasinoThe Strip"," 7.82477","167.NA","167.96","Las_Vegas_Saturday_20170401","1"
"5","Aria Resort And CasinoThe Strip"," 8.61018","254.34","220.15","Las_Vegas_Saturday_20170401","1"
"6","Mandalay Bay Resort And CasinoThe Strip"," 8.21028","236.66","204.85","Las_Vegas_Saturday_20170401","1"
"7","Flamingo Las VegasThe Strip"," 6.32111","NA","179","Las_Vegas_Saturday_20170401","1"
"8","Paris Las VegasThe Strip"," 7.71092","170.NA","170.05","Las_Vegas_Saturday_20170401","1"
"9","Caesars Palace Las VegasThe Strip"," 7.6836","NA","229","Las_Vegas_Saturday_20170401","1"
"10","Actual room may vary","Hyatt RegencyWestinHiltonSheratonIntercontinentalMarriottExamples may appear in other star levels.Close",""",""minRateSavingsPer","98What Are Express Deals?Las Vegas Convention CenterSimilar 4-Star Hotels in this areaBIG DISCOUNTSWe negotiate rates up to 60% off for flexible travelers.WHAT'S THE CATCH?With prices this low, most hotels won't let us show their identity.BOOK AND SAVEGet the name and exact location of the hotel when you book.Prices this low require us to hide the hotel name and some details until purchase is complete.Las Vegas Convention Center, Las Vegas, NVWork? Play? How about both? This golf-studded section of Las Vegas houses the Las Vegas Convention Center and its western border is only one block from the famous Las Vegas Strip, so those staying in this area are never far from world-class gaming, entertainment and dining. The eastern border of this area sits adjacent to Boulevard Mall shopping.We'll reveal the hotel name and address after you bookSimilar 4-Star HotelsThese hotels include great independent hotels, plus brands similar to:Hyatt RegencyWestinHiltonSheratonIntercontinentalMarriottExamples may appear in other star levels.Close","Las_Vegas_Saturday_20170401","1"
"11","Trump International Hotel, Las VegasThe Strip"," 8.93509","164.NA","164.25","Las_Vegas_Saturday_20170401","1"
"12","The Linq Hotel And CasinoThe Strip"," 7.1564","189.NA","189.05","Las_Vegas_Saturday_20170401","1"
"13","Ballys Las VegasThe Strip"," 7.51439","153.NA","153.74","Las_Vegas_Saturday_20170401","1"
"14","Excalibur Hotel And CasinoThe Strip"," 7.12933","228.55","155.07","Las_Vegas_Saturday_20170401","1"
"15","Mgm Grand Hotel CasinoThe Strip"," 7.61389","185.60","160.65","Las_Vegas_Saturday_20170401","1"
"16","Luxor Hotel And CasinoThe Strip"," 7.03207","243.60","165.28","Las_Vegas_Saturday_20170401","1"
"17","Rio Suite Hotel CasinoWest of The StripFree Parking People Viewing!Room Left! Book Now!CLICK HERE to sign in and unlock a lower price! Good:  reviews Savings CalculationClosewas from$Choose"," 7.11676","154.NA","154.99","Las_Vegas_Saturday_20170401","1"
"18","The MirageThe Strip"," 8.1908","218","188.70","Las_Vegas_Saturday_20170401","1"
"19","Wynn Las VegasThe Strip"," 9.0749","NA","242","Las_Vegas_Saturday_20170401","1"
"20","Actual room may vary"," 8+was $164$128ChooseWhat Are Express Deals?The Strip - NorthwestSimilar 5-Star Hotels in this areaBIG DISCOUNTSWe negotiate rates up to 60% off for flexible travelers.WHAT'S THE CATCH?With prices this low, most hotels won't let us show their identity.BOOK AND SAVEGet the name and exact location of the hotel when you book.Prices this low require us to hide the hotel name and some details until purchase is complete.The Strip - Northwest, Las Vegas, NVWe'll reveal the hotel name and address after you bookSimilar 5-Star HotelsThese include the very best hotels in each city and provide thehighest levels of quality, services and amenities. They have anelegant decor, are finely furnished, use excellent linens, withpersonalized guest services delivering an amazing overall high levelof comfort. Our 5-star hotels are simply unbeatable.Close",""",""minRateSavingsPer","128What Are Express Deals?The Strip - NorthwestSimilar 5-Star Hotels in this areaBIG DISCOUNTSWe negotiate rates up to 60% off for flexible travelers.WHAT'S THE CATCH?With prices this low, most hotels won't let us show their identity.BOOK AND SAVEGet the name and exact location of the hotel when you book.Prices this low require us to hide the hotel name and some details until purchase is complete.The Strip - Northwest, Las Vegas, NVWe'll reveal the hotel name and address after you bookSimilar 5-Star HotelsThese include the very best hotels in each city and provide thehighest levels of quality, services and amenities. They have anelegant decor, are finely furnished, use excellent linens, withpersonalized guest services delivering an amazing overall high levelof comfort. Our 5-star hotels are simply unbeatable.Close","Las_Vegas_Saturday_20170401","1"
"21","Hard Rock Hotel And CasinoEast of The StripFree Internet, Free Parking People Viewing!Good:  reviews Savings CalculationClosewas from$Choose"," 7.11083","NA","159","Las_Vegas_Saturday_20170401","1"
